slide,tumor_150,tumor_287,tumor_377,tumor_450,cd4_150,cd4_287,cd4_377,cd4_450,cd8_150,cd8_287,cd8_377,cd8_450,foxp3_150,foxp3_287,foxp3_377,foxp3_450,pdmac_150,pdmac_287,pdmac_377,pdmac_450,other_150,other_287,other_377,other_450,y,n_cells_corrected,unscored_overlap
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",3.0,8.0,11.0,20.0,1.0,16.0,19.0,13.0,11.0,13.0,25.0,14.0,17.0,24.0,24.0,25.0,0.0,0.0,0.0,0.0,15.0,60.0,50.0,49.0,0.3333333333333333,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",1.0,4.0,8.0,9.0,0.0,1.0,3.0,9.0,9.0,22.0,14.0,18.0,3.0,10.0,9.0,25.0,0.0,0.0,2.0,2.0,11.0,32.0,25.0,32.0,0.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,11.0,20.0,24.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,1.0,23.0,44.0,31.0,34.0,-1.0,2661.3255280554836,11714
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,1.0,8.0,10.0,2.0,9.0,8.0,11.0,6.0,13.0,33.0,26.0,5.0,11.0,15.0,18.0,0.0,2.0,0.0,0.0,17.0,73.0,54.0,68.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,1.0,4.0,7.0,8.0,17.0,19.0,14.0,11.0,16.0,33.0,27.0,8.0,37.0,41.0,26.0,0.0,1.0,1.0,0.0,31.0,72.0,59.0,59.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,0.0,0.0,3.0,14.0,25.0,20.0,14.0,8.0,17.0,22.0,26.0,25.0,47.0,37.0,31.0,1.0,2.0,1.0,1.0,18.0,61.0,48.0,66.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,3.0,3.0,3.0,0.0,13.0,24.0,35.0,17.0,28.0,26.0,47.0,7.0,40.0,42.0,20.0,0.0,2.0,1.0,0.0,29.0,70.0,58.0,41.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",12.0,30.0,16.0,19.0,1.0,1.0,8.0,4.0,3.0,11.0,9.0,10.0,1.0,7.0,9.0,7.0,0.0,0.0,1.0,1.0,12.0,30.0,33.0,43.0,0.5,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",6.0,11.0,2.0,9.0,1.0,1.0,4.0,2.0,5.0,24.0,9.0,18.0,2.0,17.0,7.0,5.0,0.0,2.0,0.0,0.0,9.0,23.0,26.0,29.0,0.8333333333333334,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",4.0,18.0,16.0,23.0,0.0,7.0,4.0,16.0,2.0,15.0,14.0,6.0,4.0,10.0,24.0,21.0,0.0,0.0,2.0,0.0,14.0,44.0,35.0,32.0,0.25,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,7.0,11.0,5.0,1.0,2.0,3.0,7.0,9.0,11.0,18.0,15.0,2.0,10.0,11.0,14.0,0.0,0.0,0.0,0.0,8.0,32.0,30.0,25.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,1.0,0.0,7.0,3.0,20.0,13.0,16.0,4.0,25.0,34.0,19.0,9.0,43.0,26.0,23.0,1.0,2.0,3.0,1.0,13.0,40.0,46.0,41.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",10.0,13.0,20.0,17.0,0.0,3.0,5.0,4.0,2.0,9.0,14.0,16.0,0.0,6.0,10.0,9.0,0.0,1.0,2.0,0.0,14.0,49.0,56.0,60.0,0.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,10.0,3.0,11.0,4.0,3.0,4.0,6.0,0.0,14.0,16.0,8.0,1.0,8.0,5.0,9.0,1.0,0.0,0.0,1.0,23.0,47.0,33.0,44.0,-1.0,2661.3255280554836,13102
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",2.0,20.0,7.0,9.0,2.0,8.0,7.0,7.0,19.0,15.0,30.0,29.0,7.0,7.0,6.0,10.0,1.0,0.0,1.0,0.0,18.0,41.0,35.0,33.0,0.5,2661.3255280554836,10707
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",7.0,12.0,11.0,9.0,1.0,10.0,7.0,3.0,11.0,42.0,31.0,31.0,4.0,19.0,15.0,25.0,0.0,1.0,0.0,1.0,16.0,42.0,35.0,37.0,1.0,2661.3255280554836,1388
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,5.0,5.0,8.0,1.0,7.0,11.0,11.0,13.0,26.0,20.0,19.0,0.0,20.0,24.0,16.0,2.0,0.0,1.0,5.0,16.0,47.0,33.0,35.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,0.0,1.0,3.0,5.0,16.0,12.0,14.0,11.0,17.0,26.0,39.0,7.0,26.0,25.0,40.0,0.0,2.0,1.0,4.0,24.0,67.0,54.0,53.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,1.0,3.0,5.0,17.0,35.0,13.0,8.0,5.0,21.0,26.0,16.0,24.0,65.0,35.0,22.0,0.0,0.0,3.0,0.0,17.0,57.0,67.0,61.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,4.0,1.0,2.0,6.0,9.0,16.0,8.0,11.0,42.0,35.0,39.0,17.0,22.0,18.0,42.0,1.0,0.0,3.0,0.0,21.0,67.0,61.0,52.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,10.0,10.0,8.0,1.0,5.0,7.0,6.0,8.0,12.0,14.0,16.0,2.0,14.0,16.0,18.0,0.0,2.0,0.0,0.0,13.0,41.0,41.0,32.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",9.0,15.0,5.0,1.0,0.0,3.0,0.0,3.0,5.0,30.0,16.0,29.0,1.0,6.0,9.0,11.0,0.0,1.0,2.0,1.0,9.0,20.0,30.0,36.0,0.3333333333333333,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",1.0,19.0,16.0,16.0,2.0,9.0,12.0,11.0,13.0,27.0,8.0,7.0,11.0,18.0,21.0,20.0,0.0,1.0,1.0,0.0,37.0,53.0,52.0,55.0,1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",0.0,1.0,7.0,9.0,4.0,20.0,22.0,10.0,8.0,17.0,11.0,13.0,14.0,36.0,32.0,30.0,1.0,2.0,0.0,0.0,22.0,55.0,37.0,30.0,-1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",6.0,3.0,4.0,6.0,5.0,12.0,10.0,3.0,18.0,59.0,26.0,22.0,8.0,17.0,24.0,16.0,0.0,0.0,2.0,1.0,15.0,66.0,53.0,66.0,1.0,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",5.0,25.0,36.0,34.0,2.0,9.0,3.0,0.0,6.0,9.0,5.0,1.0,1.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0,19.0,31.0,24.0,19.0,0.2,2661.3255280554836,0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__893-14_HP_IM3_8_[5829.2,10780.5].npy",4.0,6.0,12.0,19.0,5.0,3.0,3.0,0.0,2.0,13.0,12.0,11.0,9.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,10.0,34.0,30.0,34.0,0.5,2661.3255280554836,0
