slide,tumor_150,tumor_287,tumor_377,tumor_450,cd4_150,cd4_287,cd4_377,cd4_450,cd8_150,cd8_287,cd8_377,cd8_450,foxp3_150,foxp3_287,foxp3_377,foxp3_450,pdmac_150,pdmac_287,pdmac_377,pdmac_450,other_150,other_287,other_377,other_450,y,n_cells_corrected
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__9614-13_HP_IM3_0_[13292,18331].npy",16.0,31.0,40.0,42.0,1.0,11.0,5.0,1.0,3.0,10.0,4.0,16.0,4.0,8.0,12.0,13.0,5.0,0.0,4.0,1.0,18.0,60.0,70.0,65.0,0.0625,3870.680856841468
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__21964-09_HP_IM3_17_[13448.9,9227.3].npy",22.0,35.0,35.0,45.0,1.0,5.0,13.0,2.0,2.0,11.0,4.0,8.0,1.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,13.0,46.0,40.0,37.0,0.0,2911.1381687966527
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__18231-12_HP_IM3_1_[15883,7047].npy",33.0,60.0,59.0,60.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,0.0,2366.0762255092927
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__4866-05_HP_IM3_1_[8288,17126].npy",20.0,64.0,40.0,36.0,0.0,1.0,2.0,3.0,1.0,0.0,4.0,1.0,0.0,5.0,4.0,2.0,2.0,5.0,1.0,1.0,3.0,32.0,43.0,35.0,0.3,3024.881854014043
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34377-12_HP_IM3_3_[14876,9224].npy",10.0,42.0,49.0,59.0,7.0,10.0,7.0,6.0,3.0,5.0,2.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,11.0,23.0,17.0,25.0,0.0,3088.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__35626-11_HP_IM3_11_[12756.5,16473.3].npy",20.0,14.0,12.0,7.0,10.0,28.0,8.0,24.0,6.0,20.0,17.0,15.0,6.0,18.0,22.0,13.0,5.0,12.0,15.0,6.0,25.0,80.0,85.0,74.0,0.75,3487.4971401047633
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_0_[11223,9985].npy",15.0,62.0,57.0,69.0,4.0,3.0,6.0,4.0,6.0,22.0,32.0,12.0,4.0,16.0,4.0,11.0,6.0,9.0,9.0,3.0,7.0,20.0,19.0,17.0,0.2,3217.3013504521773
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24325-12_HP_IM3_0_[16650,8075].npy",27.0,55.0,48.0,36.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,3.0,24.0,25.0,32.0,0.0,2807.1745176465715
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES12 25425_HP_IM3_11_[35771.8,17265.3].npy",17.0,22.0,14.0,24.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,2.0,6.0,13.0,12.0,1.0,1540.5033281348142
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__18380-12_HP_IM3_1_[25145,13466].npy",13.0,32.0,33.0,38.0,0.0,1.0,6.0,7.0,0.0,4.0,3.0,3.0,1.0,9.0,9.0,7.0,0.0,5.0,3.0,0.0,0.0,4.0,1.0,6.0,0.0,1999.0066284207276
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__27975-12_HP_IM3_0_[14910,14677].npy",24.0,25.0,10.0,27.0,0.0,1.0,0.0,1.0,1.0,4.0,6.0,9.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,4.0,26.0,34.0,38.0,0.04166666666666666,1738.4521816964834
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__6236-13_HP_IM3_1_[24778,18459].npy",47.0,115.0,103.0,93.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,8.0,0.0851063829787234,3185.0945305544647
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__4866-05_HP_IM3_1_[8288,17126].npy",29.0,73.0,78.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,3.0,6.0,15.0,11.0,3.0,5.0,11.0,18.0,0.10344827586206896,3024.881854014043
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__149-70_HP_IM3_9_[15527.7,13368.3].npy",51.0,67.0,62.0,37.0,5.0,7.0,6.0,9.0,2.0,14.0,33.0,19.0,7.0,36.0,35.0,24.0,1.0,1.0,1.0,0.0,19.0,95.0,96.0,141.0,1.0,5646.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__35626-11_HP_IM3_13_[10677.6,11297.8].npy",14.0,49.0,32.0,35.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,8.0,11.0,0.0,3287.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES12 25463_HP_IM3_2_[33000.5,18818.5].npy",21.0,45.0,50.0,42.0,2.0,11.0,16.0,3.0,4.0,16.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,17.0,62.0,41.0,66.0,0.0,2862.262225461921
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__15830-09_HP_IM3_18_[12756.5,9227.3].npy",14.0,14.0,14.0,3.0,1.0,9.0,13.0,18.0,0.0,8.0,9.0,7.0,1.0,14.0,14.0,8.0,0.0,4.0,3.0,6.0,12.0,23.0,28.0,27.0,0.07142857142857142,2312.953372368068
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_2_[14837,9391].npy",30.0,48.0,53.0,47.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,20.0,0.03333333333333333,2876.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1578-77_HP_IM3_11_[19683.7,8710].npy",12.0,20.0,24.0,9.0,0.0,2.0,3.0,2.0,1.0,7.0,8.0,28.0,0.0,0.0,15.0,32.0,0.0,3.0,11.0,15.0,0.0,22.0,32.0,28.0,0.9166666666666666,3076.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__20671-11_HP_IM3_18_[16220.1,9227.3].npy",18.0,36.0,29.0,27.0,4.0,18.0,15.0,14.0,23.0,40.0,24.0,37.0,1.0,2.0,4.0,5.0,0.0,2.0,6.0,2.0,14.0,55.0,51.0,57.0,1.0,3624.137687591745
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11866-98_HP_IM3_16_[31459.3,6639.6].npy",10.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,1.0,6.0,0.0,3.0,0.0,1.0,30.0,78.0,77.0,74.0,0.6,2676.635546233617
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24986-13_HP_IM3_2_[21431,14744].npy",24.0,61.0,75.0,77.0,0.0,2.0,1.0,3.0,6.0,14.0,19.0,13.0,3.0,7.0,6.0,3.0,2.0,11.0,13.0,10.0,3.0,12.0,6.0,7.0,0.04166666666666666,3466.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__20383-12_HP_IM3_1_[11729,15038].npy",12.0,21.0,19.0,21.0,1.0,8.0,14.0,13.0,25.0,48.0,48.0,62.0,0.0,1.0,1.0,1.0,2.0,17.0,16.0,7.0,27.0,56.0,57.0,63.0,0.5833333333333334,4003.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__44422-12_HP_IM3_2_[18513,18348].npy",26.0,97.0,101.0,95.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,21.0,38.0,22.0,32.0,0.1153846153846154,4367.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_2_[14837,9391].npy",28.0,64.0,67.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2876.0
